"read","assigned_region"
"00057571-e487-436c-aa7a-96aa9ef16776","chr3_telo_2"
"001932b1-84fc-42fc-9fd5-3b8debee68a4","chr4_telo_2"
"002f0db4-7030-490d-9d0b-69230e29a988","chr8_internal_1"
"006d9a87-334b-4394-afb8-333a05bc2bde","chr7_telo_1"
"0086946a-b146-4e98-ab34-482425ff46d5","chr5_telo_1"
"00f87ee7-1259-4063-bc74-55ec03cd56ca","chr7_internal_1"
"0129af04-4c7d-4bfa-8e6c-011890c59989","chr4_internal_1"
"01385613-725b-45dc-a41e-f0a03df7729b","chr3_telo_2"
"017d6ff3-08f0-4fcf-ae52-87f6e608baa8","chr8_internal_1"
"0187fff9-0e7e-4484-a156-924e54b85b21","chr1_telo_2"
"01b4386d-fc74-4476-8bd0-a60adcb28c27","chr12_telo_2"
"01b94cec-a69f-4b6b-84b8-f25da7dbdace","chr1_telo_1"
"01cb3b61-22d7-48e6-a256-f8303ab59f5b","chr8_telo_1"
"01d53a73-3100-4453-9baf-2c16608abc41","chr2_telo_1"
"01e52120-4cff-4486-a011-492e108132d3","chr5_telo_1"
"01ee8dbd-601f-427f-a08b-557e4b51720d","chr6_internal_1"
"0221d24d-0bbc-47e7-8495-a5fa63df86f9","chr12_telo_2"
"023562d2-cbbb-49da-9583-6aba7483cbc5","chr10_telo_2"
"02526e6c-dee7-4e18-8dcc-0b4cb79ee258","chr2_telo_2"
"025c18bc-e647-411d-b032-5318b32641b2","chr9_telo_1"
"026fe3e2-27d8-4801-a54a-6891f1fe4f19","chr3_internal_0"
"027dd80f-7d38-403b-90b3-6bc9ae4d4c28","chr11_telo_2"
"02872b4f-e4c6-4f44-8e6e-43fcbf8de8fd","chr10_telo_1"
"02e20bef-b6e3-450b-8ea5-fc232f665db9","chr1_telo_1"
"030090dc-c087-40e9-aee8-80768c1a8431","chr13_telo_2"
"03032e2c-cadf-4ed8-ba00-cdc854b60ad4","chr1_telo_2"
"0344fb5b-1d6c-41ae-9a65-df9464ee1d7f","chr12_telo_1"
"035d731a-176d-4bed-a912-bd413f7e47b3","chr2_telo_1"
"0369f201-21db-4222-aa73-a5f8f4d43fa3","chr2_telo_1"
"03809337-e5ca-44b8-9817-d323c70bd826","chr4_internal_2"
"03896160-e25b-458e-b941-3f96770ef498","chr13_telo_2"
"03b971b0-42cd-437c-a0bc-2951fce1efee","chr13_telo_1"
"03bfac3f-64c1-4147-b4f2-de80ba83de8f","chr11_telo_2"
"03c7ca0a-9b23-4803-801b-d08f95af066e","chr3_internal_0"
"03d73c66-7e7a-4e46-a1d4-915588c959b3","chr7_telo_2"
"03df7ec0-2f65-43f9-8d8f-b45a091e0623","chr10_telo_1"
"03ef40a7-7f65-4df4-aa25-57dac6c40cfc","chr1_telo_2"
"0409a070-714d-4c66-9ca1-a3f2d664d185","chr10_telo_2"
"040b87d3-0407-45d0-a568-85072ad70457","chr10_telo_1"
"0475af7c-82ba-4d75-843e-0f330d5c2bb1","chr4_internal_1"
"04a03801-1793-492f-bb38-f830c24d7b28","chr5_telo_2"
"04e79e09-27ae-4fb3-9af5-3d84c12f767b","chr6_telo_1"
"05299a49-0b50-44c6-8fc8-a0d64d5dd2b0","chr4_internal_2"
"0529dda5-123a-45c2-aad4-85a13f54143e","chr11_telo_1"
"053972fa-6629-4aa0-bad2-66e24a8a754f","chr7_internal_1"
"053d4293-c6ad-4379-a5dc-e9980faa580a","chr13_telo_1"
"0542463d-3a4d-4fef-a700-24b812714805","chr1_telo_2"
"055be37c-95fd-45da-9e77-07e1bfe4ecc1","chr5_telo_1"
"055c99ff-1813-482f-a7d2-60f6a0f980a7","chr4_internal_1"
"056b75f4-074d-4763-b198-43ab591e957f","chr9_telo_1"
"0589dd88-58ea-433f-b37d-f70693da2ff1","chr12_telo_2"
"05d7f7f8-6faf-489d-bfa1-f02b45878da1","chr8_telo_2"
"05fcf8f0-fd53-4b5a-b663-d2d2e4a1af6b","chr6_telo_2"
"061f36b6-7e82-48c6-821a-4fabb0c29c18","chr8_internal_1"
"0620c714-c9ae-4fcd-b81d-17330ec1a125","chr4_internal_1"
"0624dc62-d0b4-473e-b26b-b0e72782e936","chr13_telo_2"
"065a6249-156e-4910-b579-19f593624982","chr4_internal_0"
"06a56d32-a83c-4cca-90a7-88544cc2cb92","chr7_telo_2"
"06ce47ad-6679-402c-9213-1631daf8e896","chr3_telo_2"
"06d81a66-797a-4665-8b1a-72ec3247ee1a","chr4_internal_2"
"06e96084-a2c1-4997-8aec-e626c0c76e22","chr6_telo_1"
"071b0e14-ceaa-458b-a666-e34c923f0a37","chr9_telo_2"
"072492bc-7004-4817-9ce8-6eb13e7ae399","chr13_telo_2"
"0725aef1-2197-442c-959f-cfb987597b7b","chr12_telo_2"
"072c36e5-3eae-4a1f-bcf9-64247d830ca5","chr8_telo_2"
"0733c0ee-5ed9-45eb-a07e-b091f8aacf59","chr7_internal_1"
"07347ec4-54a3-4631-a55f-0bf3a3ffced7","chr8_internal_1"
"0737feb8-6b59-4fa5-b50b-ef29cdd3489c","chr12_telo_1"
"07627231-8140-4bef-b87f-adae5891b62f","chr9_telo_1"
"07634e28-f3cc-4579-9ecf-77ba2e957aa8","chr1_telo_2"
"07a33b21-788f-41eb-a2f6-f3537ca330a8","chr11_telo_1"
"07dba938-83e3-4a02-a86f-32f9133a0bcd","chr11_telo_1"
"07e17f99-5b1a-4fe6-a508-40339eaac0c8","chr10_telo_1"
"07fb982c-805d-457f-ba86-d888fb0a25f6","chr1_telo_2"
"08146e89-079f-4274-887d-627e131235bb","chr12_internal_1"
"084dcc91-bd09-4888-becc-acdabe3f151f","chr4_telo_2"
"085978d4-8c5a-4d97-bd90-442b1868c4f3","chr2_telo_1"
"085b76ae-8fb5-4583-9a12-47ab9fd2068d","chr8_telo_1"
"0882e1f7-b9fd-4eb7-bdb9-ad522b17245e","chr6_telo_2"
"089c6028-04ec-4627-a95c-d7a351485c03","chr5_telo_2"
"08caec9f-c8e1-4f13-8fef-3d547d6b3a2f","chr4_internal_1"
"08e24879-fe73-4390-9fba-0675f8df0b93","chr4_telo_2"
"08f9b568-e5a7-4b84-b52b-4fd6396f331e","chr9_telo_2"
"0926f167-44a7-407f-95a6-9d380b203de2","chr3_telo_2"
"09394a05-cc76-414e-958f-c283d061557e","chr1_telo_2"
"094674a6-dea1-439a-8876-1d57bb179cda","chr10_telo_2"
"0948970d-3149-470d-ba0b-d7c57a3b5742","chr13_telo_1"
"094de801-d5b0-4330-a474-88c5b4a335de","chr11_telo_2"
"095bde21-457b-4909-afff-7d8c59182f2d","chr1_telo_2"
"09a212fd-764f-46f1-8adb-6fe13b8eeec7","chr11_telo_2"
"09bfce22-c1cd-4ad9-ba2d-c817ee1902eb","chr8_telo_1"
"09d39b94-cf5e-4654-8d6c-99c0ac709808","chr9_telo_1"
"09f54f54-6ab0-4fe6-b74d-c4dd47f626e4","chr7_telo_1"
"0a1d8a3f-c51a-451d-a2de-9da9e76b4f75","chr4_internal_1"
"0a25bae6-7251-49dc-bb15-5f4ea1abad34","chr6_telo_2"
"0a4805d3-37b6-4ef2-a786-f536c3de7374","chr4_telo_2"
"0a48f1ed-6c4c-45af-ad87-ca256d1429df","chr4_telo_2"
"0a4b831d-b406-487f-96e5-dbc47cda7cc5","chr12_internal_2"
"0a502a43-5a3f-42a3-8b41-258130643fa9","chr6_internal_1"
"0a54603c-83df-4142-8e7f-14cfc8216010","chr2_telo_1"
"0a679020-d706-47ea-b20c-2d36d4330d9c","chr11_telo_1"
"0a80e3cb-7c6a-4cae-8a11-86613730144e","chr1_telo_1"
"0a96b2e7-f0a0-4530-9d7d-33b8aaf01412","chr12_telo_1"
"0aa56dfa-80ad-4c40-834e-e5ad4d7653ad","chr12_telo_1"
"0aa81b48-11dd-4753-bbd0-1bbaa1d4387a","chr2_telo_2"
"0ab0567d-6c49-4487-9c84-f2b8fe81e50b","chr3_telo_1"
"0ad32274-f8cb-497f-b61a-a58c3248dcf8","chr11_telo_1"
"0ae8ca32-8539-4a3d-8016-f2920ca9c1cf","chr1_telo_2"
"0af6a64d-4450-4a18-8e7d-ef2b53ebcb68","chr8_telo_2"
"0afed69a-dd30-4dbc-b964-ed7f95d51f39","chr4_internal_2"
"0b7bbe3e-687c-470f-a4bf-27125c503a0b","chr4_internal_0"
"0b944848-a186-497e-992d-e056b1bae902","chr7_telo_2"
"0b9e5a64-b8ba-461c-956f-514bbf5a52e6","chr6_telo_2"
"0bb1838a-0a16-4713-9c52-001e7da1cad1","chr8_telo_1"
"0c44618c-a733-4622-afa8-6af2325ef63a","chr8_internal_1"
"0c4ee512-7d8d-4263-acf0-585dd2422f8d","chr3_telo_2"
"0c687e26-6535-42d2-87a0-40fdad9105c0","chr12_internal_2"
"0ca5395a-3b53-4954-9823-5717d22f4f3d","chr1_telo_2"
"0cfb4efb-0e5f-443d-8ada-341cae870781","chr13_telo_2"
"0d059e5a-3864-48ea-b5fc-e3407dc585ae","chr11_telo_1"
"0d10ac51-e4ba-437d-a5da-d864558f2088","chr12_telo_1"
"0d464636-1d82-4229-a2e5-48de7dda7018","chr12_internal_1"
"0d4970c5-afa6-43e0-9658-4c14eda477fb","chr6_telo_2"
"0d58c3e6-3466-4fd3-94c4-3cfade1344cc","chr8_telo_1"
"0d7533bc-81c8-43d0-93fb-bdd5ddf45a44","chr7_telo_2"
"0d8a505c-d17d-436f-8fc3-9fc9ed9cb0aa","chr8_telo_1"
"0d8ef6bd-313f-455f-a0e5-e1d39b56ded5","chr4_telo_2"
"0d931443-98bb-4572-b7fd-b881906cce8e","chr7_internal_1"
"0daff01d-7628-4b9e-9e88-853a714f1047","chr11_telo_2"
"0dd3f7be-f9d7-4098-b1b0-b11b3ff48deb","chr10_telo_2"
"0ddfb5b2-6de5-4793-b981-ca2ebdfab7b0","chr10_telo_2"
"0de10855-d542-4665-83a6-296375eaf997","chr10_telo_2"
"0e1349c2-685b-4fda-8c65-ae4cfd88ad0a","chr3_telo_1"
"0e326ae7-aa8f-4cb3-a6a7-77c4d2b9f430","chr5_telo_1"
"0e74fb92-2f8b-466b-9e27-efad54387fbc","chr7_internal_1"
"0ede70bd-61c9-4352-bf1b-6fc0be8ec8d6","chr6_telo_2"
"0ee584da-889d-4595-88c2-ec7e9957c47f","chr4_telo_2"
"0f17b2bb-0b79-4169-b6ed-b7f1b1283ccf","chr5_telo_1"
"0f616820-3bb3-48bd-b8a2-79ba90dc661f","chr4_internal_1"
"0f94389c-2d12-4995-b71a-e5f0fbfabdd5","chr1_telo_1"
"0fba9e2d-626b-4e6b-8e6c-e5e81cb74fe5","chr6_telo_2"
"0fd71b85-8955-47c8-a8d9-6673ae341368","chr13_telo_2"
"0fdf16ed-c373-493f-a676-181ba917a458","chr3_internal_0"
"0fe86423-c196-4ed1-94c8-38b662033f7c","chr4_telo_2"
"0fedf622-e4ba-4555-9661-814432addaf8","chr10_telo_2"
"0ff4bab5-a160-4be5-a96d-018d6b5b56aa","chr11_telo_2"
"101269fd-856f-47f7-94c5-f2ac5ca84799","chr11_telo_1"
